age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date,id,contact_month,contact_year,previous_contact
41.0,blue-collar,MARRIED,,0,0,0,telephone,55,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-11-30,8d700df5-0c33-4517-8cf8-92e1c92c9c12,11,2015,0
25.0,services,SINGLE,high.school,0,1,0,telephone,222,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-04-17,ca5c0d7a-8bbd-42b3-8351-1074c5be011a,4,2016,0
29.0,blue-collar,SINGLE,high.school,0,0,1,telephone,137,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-06-14,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,6,2016,0
57.0,housemaid,DIVORCED,basic.4y,0,1,0,telephone,293,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-08-25,54b1ea8a-a909-45d9-9562-775b64ac9c29,8,2015,0
35.0,blue-collar,MARRIED,basic.6y,0,1,0,telephone,146,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-09-19,3a7b7570-aba9-40bc-9f80-3433d064b5b7,9,2016,0
54.0,retired,MARRIED,basic.9y,0,1,1,telephone,174,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-01-03,c93f0774-c122-421b-ac44-2041dcc43609,1,2016,0
35.0,blue-collar,MARRIED,basic.6y,0,1,0,telephone,312,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2018-02-28,8f63b4b2-6190-4fbe-a041-b0c472c596c7,2,2018,0
,blue-collar,MARRIED,basic.6y,0,1,1,telephone,440,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-03-29,714f78d0-c23e-40ff-b892-bfeacc4223f8,3,2019,0
50.0,blue-collar,MARRIED,basic.9y,0,1,1,telephone,353,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-10-25,4b568fd1-8690-48a4-a1e5-7497bb533047,10,2018,0
39.0,management,SINGLE,basic.9y,0,0,0,telephone,195,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2017-07-01,74bf1569-4bdb-49e4-98ba-c1c607d90596,7,2017,0
30.0,unemployed,MARRIED,high.school,0,0,0,telephone,38,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-04-20,e9170af6-b4f8-4700-b954-836f94372fd8,4,2017,0
55.0,blue-collar,MARRIED,basic.4y,0,1,0,telephone,262,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-08-11,47591c83-e88b-40c2-bb8e-de40b94a44cb,8,2016,0
55.0,retired,SINGLE,high.school,0,1,0,telephone,342,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-12-24,1c85ef8a-60a1-424d-804c-f712ccd612cc,12,2019,0
,technician,SINGLE,high.school,0,1,0,telephone,181,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-06-10,f480284a-908b-4575-9ce5-28b396d54e36,6,2015,0
37.0,admin.,MARRIED,high.school,0,1,0,telephone,172,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-05-19,2a14bcd3-a981-45c2-ac76-79323567627c,5,2017,0
35.0,technician,MARRIED,university.degree,0,0,1,telephone,99,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2018-03-19,c298253f-fcd6-45cb-a6b0-9815ec3e7c13,3,2018,0
,technician,MARRIED,,0,1,0,telephone,93,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-09-25,cbf9c247-762f-40f9-a351-a7e686ac7488,9,2016,0
39.0,self-employed,MARRIED,basic.9y,0,0,0,telephone,233,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-11-23,b4861606-8206-4f41-acd5-63b48d5596a1,11,2016,0
54.0,technician,SINGLE,university.degree,0,0,0,telephone,255,2,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-12-05,f52b8aff-2bab-496e-9b18-95925894c0ed,12,2016,0
55.0,,MARRIED,university.degree,0,0,0,telephone,362,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-07-01,943bc97d-2618-4ba3-b2dc-5a3d1571446a,7,2015,0
46.0,admin.,MARRIED,,0,0,0,telephone,348,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2019-12-20,61bec99d-c1d2-4231-aa6a-37a002c9af42,12,2019,0
59.0,technician,MARRIED,,0,1,0,telephone,386,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2019-04-14,9eaba08c-51a8-477f-93b6-ad65fb0b6f03,4,2019,0
49.0,blue-collar,MARRIED,,0,0,0,telephone,73,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-01-04,69cb4917-d4e6-456f-a840-c5c411bac44c,1,2019,0
54.0,management,MARRIED,basic.4y,0,1,0,telephone,230,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-10-05,a028192c-3c95-4935-aa95-06515e5fd38d,10,2019,0
,blue-collar,DIVORCED,basic.4y,0,0,0,telephone,208,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-12-18,ebf703d5-d980-47bc-a8eb-6de16260483f,12,2019,0
55.0,,MARRIED,basic.4y,0,1,0,telephone,336,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2018-02-11,7aeeda6f-95df-402b-a8d8-817764f4dafe,2,2018,0
34.0,services,MARRIED,high.school,0,0,0,telephone,365,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2019-10-17,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9,10,2019,0
52.0,technician,MARRIED,basic.9y,0,1,0,telephone,1666,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-12-11,a7eb98b2-0163-4375-a6a5-40b5f2ce6428,12,2015,0
41.0,admin.,MARRIED,university.degree,0,1,0,telephone,577,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-04-26,a9280a68-5b1e-448c-98c9-271eba3e4a30,4,2019,0
56.0,technician,MARRIED,basic.4y,0,1,0,telephone,137,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-04-23,b1d3e69b-43f5-4983-ba00-37dcc3979e84,4,2017,0
58.0,management,,university.degree,0,1,0,telephone,366,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-09-15,e03dc123-10b3-42f2-9d18-c26a53c7a473,9,2015,0
32.0,entrepreneur,MARRIED,high.school,0,1,0,telephone,314,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-12-29,41f0832d-fea4-47dc-81c3-ad5a528a2fb7,12,2018,0
38.0,admin.,SINGLE,professional.course,0,0,0,telephone,160,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-03-12,dd9279a9-2d85-4f87-b87b-560f5224d46a,3,2015,0
,admin.,MARRIED,university.degree,0,0,1,telephone,212,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-06-06,45576313-a078-48e8-803c-b5fec072ee53,6,2019,0
44.0,admin.,MARRIED,university.degree,0,1,0,telephone,188,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-01-05,f2e69637-04fb-4d2d-813e-b15e061776e9,1,2015,0
42.0,technician,SINGLE,professional.course,0,0,0,telephone,22,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-01-08,01d47e8f-32e7-4fd8-8188-2761a09f42bb,1,2017,0
57.0,admin.,MARRIED,university.degree,0,1,1,telephone,616,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-10-15,170ae51e-abde-4832-a157-f1bf0f630e83,10,2016,0
40.0,blue-collar,MARRIED,basic.9y,0,0,1,telephone,178,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2017-08-15,6beb1eea-2343-42c1-9881-378c64cf08e5,8,2017,0
35.0,admin.,MARRIED,university.degree,0,1,0,telephone,355,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2015-12-19,6155f7ed-fc77-4de5-8f66-386c9a85d74a,12,2015,0
45.0,blue-collar,MARRIED,basic.9y,0,1,0,telephone,225,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-05-15,652ef647-2ee2-4afd-8cd1-105ff08b9dfb,5,2018,0
54.0,admin.,MARRIED,high.school,0,0,0,telephone,160,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-05-23,89d515a3-7191-4a7c-b166-692bd3eb0e2e,5,2019,0
39.0,housemaid,MARRIED,basic.4y,0,0,1,telephone,266,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2015-10-02,d43355a7-b518-46f4-8713-b9daba3e586f,10,2015,0
60.0,admin.,MARRIED,high.school,0,0,0,telephone,253,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2019-07-20,b575bf38-fde5-4980-a253-e5d2a7c6622d,7,2019,0
,admin.,SINGLE,professional.course,0,0,0,telephone,179,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-10-22,fc488ebf-de25-4108-a5e0-881010bcb6db,10,2016,0
55.0,blue-collar,MARRIED,basic.4y,0,0,0,telephone,269,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-07-24,a53d19c6-cc04-4e56-936c-2af714cb0691,7,2016,0
,technician,MARRIED,professional.course,0,1,0,telephone,135,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-02-04,b49bf23e-16c4-4e10-8bad-cff8277af141,2,2017,0
50.0,management,MARRIED,university.degree,0,0,1,telephone,161,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2018-12-03,3cd59535-e982-46ec-8bdb-5540b42f98c7,12,2018,0
45.0,services,MARRIED,high.school,0,1,0,telephone,787,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-11-16,b9e57bd9-32b6-48db-be0b-399968bb4458,11,2018,0
55.0,unemployed,MARRIED,professional.course,0,1,1,telephone,145,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-08-08,c70bda4e-ab87-48ad-a248-c654a465ba18,8,2018,0
25.0,technician,SINGLE,university.degree,0,1,0,telephone,174,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2018-11-22,df2754f0-ab9d-4392-969f-255be30bcf95,11,2018,0
,entrepreneur,MARRIED,university.degree,0,0,0,telephone,449,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-01-13,4c4427bf-a4b4-4127-a461-a0db67bb5508,1,2016,0
51.0,blue-collar,MARRIED,basic.9y,0,1,0,telephone,812,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-04-15,356fc69e-a248-4af2-ae28-c2c8d3aa779d,4,2015,0
,blue-collar,MARRIED,basic.6y,0,1,0,telephone,164,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-10-08,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707,10,2018,0
42.0,blue-collar,MARRIED,basic.6y,0,0,0,telephone,366,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-09-30,4d0f692b-c599-45a2-b496-3b4fb0ca3a41,9,2017,0
48.0,admin.,MARRIED,high.school,0,0,0,telephone,357,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-06-07,d8ea4803-4a98-402e-a522-03302ef278b5,6,2017,0
37.0,admin.,MARRIED,university.degree,0,0,0,telephone,232,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-10-26,472c21b6-733b-448a-b97e-0899d471b051,10,2019,0
,blue-collar,SINGLE,basic.9y,0,1,0,telephone,91,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-10-07,c2c2c999-1f3d-48ac-9a17-562777356f88,10,2019,0
,admin.,MARRIED,,0,1,0,telephone,273,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-03-29,f9b67e3e-db2e-4089-85e1-df5462319653,3,2019,0
56.0,admin.,MARRIED,basic.9y,0,1,0,telephone,158,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-02-08,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7,2,2017,0
,blue-collar,SINGLE,basic.4y,0,1,1,telephone,177,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-09-17,c5bee864-d04c-4e58-a813-8239b67d6345,9,2017,0
41.0,management,MARRIED,basic.6y,0,0,0,telephone,200,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-10-24,c9264446-deae-4147-87a6-7f6d53a50af0,10,2018,0
44.0,management,DIVORCED,university.degree,0,1,0,telephone,172,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-01-05,5df79f8e-3ec3-48f9-bbff-b21447c79099,1,2016,0
47.0,admin.,MARRIED,university.degree,0,1,0,telephone,176,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-07-12,6444da89-9436-4b09-ad38-159551c260e3,7,2018,0
57.0,,MARRIED,,0,0,0,telephone,211,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-06-18,6e4cd355-435a-4d7b-b2f5-92d64c706a05,6,2018,0
37.0,admin.,MARRIED,university.degree,0,1,0,telephone,214,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-01-22,d3fd430a-83ab-48fb-ad0f-29219a273d56,1,2015,0
41.0,blue-collar,DIVORCED,basic.4y,0,1,0,telephone,1575,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,1,2017-02-14,52fe0cf8-74be-4760-a5fe-ac78c82cfe52,2,2017,0
55.0,technician,MARRIED,university.degree,0,0,0,telephone,349,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-07-31,fd488945-dcb1-4c93-ae06-2b2378db0bd0,7,2017,0
,services,MARRIED,high.school,0,1,0,telephone,337,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-10-04,983b0a18-7d54-4900-bc06-ba7b30e17f49,10,2018,0
55.0,management,MARRIED,,0,1,0,telephone,272,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-09-05,be6c8341-fb40-4158-8d62-81fb98648760,9,2017,0
42.0,blue-collar,MARRIED,basic.9y,0,0,0,telephone,208,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-02-07,f583f88c-58de-40db-bcae-b2b9105fa153,2,2016,0
50.0,blue-collar,MARRIED,basic.4y,0,1,0,telephone,193,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-08-19,cc1029bd-87da-4de0-8735-a3b090df62c0,8,2018,0
51.0,blue-collar,MARRIED,basic.4y,0,0,0,telephone,212,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2015-05-14,cf01e33c-2eb7-4020-8c72-879d3489bfa1,5,2015,0
38.0,admin.,MARRIED,high.school,0,0,0,telephone,165,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-01-13,e6382798-c0b1-4337-af1b-ee9196f5c831,1,2019,0
49.0,entrepreneur,MARRIED,university.degree,0,1,0,telephone,1042,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,1,2016-11-23,d3ea4624-cbe7-40bf-8324-cc3c763f0e80,11,2016,0
38.0,technician,SINGLE,university.degree,0,0,1,telephone,20,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-09-10,d652e74e-8e59-4eb0-ada7-512f3d11ea40,9,2016,0
31.0,admin.,DIVORCED,high.school,0,0,0,telephone,246,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-06-18,18060794-5ed8-44ab-8b30-ceb9cc3222fd,6,2017,0
,management,MARRIED,basic.6y,0,0,0,telephone,529,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-08-28,360a3c07-d566-4079-9550-6c6c6422f5f2,8,2017,0
39.0,admin.,MARRIED,university.degree,0,1,1,telephone,192,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2018-11-18,1246ce73-1096-4b01-b971-0bffb7ca7fee,11,2018,0
49.0,technician,MARRIED,basic.9y,0,0,0,telephone,1467,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,1,2015-05-17,01fe1411-bb08-4ae3-8252-0e7385580955,5,2015,0
34.0,admin.,MARRIED,high.school,0,1,0,telephone,188,2,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-10-26,1a7cb055-189b-4261-a521-bd11ec6ab304,10,2016,0
35.0,admin.,MARRIED,university.degree,0,1,0,telephone,180,2,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-08-27,a068e668-ee92-47ab-94b3-2c6f0660c267,8,2016,0
,,MARRIED,,0,1,0,telephone,48,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-09-30,1d488b7c-d680-4210-87f4-caab6d9ee03f,9,2017,0
60.0,admin.,MARRIED,,0,0,1,telephone,213,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-02-23,27c0a2c1-7538-4097-a0c8-501fbf55dfee,2,2019,0
33.0,unemployed,MARRIED,basic.9y,0,0,0,telephone,545,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-12-03,3e29229f-9ee7-455c-b623-63250793db56,12,2018,0
42.0,blue-collar,MARRIED,basic.6y,0,0,1,telephone,583,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-09-20,8e84714f-4768-41e6-bc2b-2dff581e12b8,9,2017,0
45.0,services,MARRIED,professional.course,0,1,0,telephone,221,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-08-17,aa9a96e2-a1f0-48b9-bd12-0d082fc65f56,8,2015,0
42.0,management,MARRIED,university.degree,0,0,0,telephone,426,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2018-11-28,9eada552-2e0f-4e25-bc52-86b419bcf3b8,11,2018,0
53.0,admin.,DIVORCED,university.degree,0,0,0,telephone,287,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-12-08,3da2368a-8b67-4b7e-bf51-0499b71369dc,12,2016,0
37.0,technician,SINGLE,professional.course,0,0,0,telephone,197,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-05-19,c96f9121-6f02-44bd-aa3c-4da573414177,5,2016,0
44.0,blue-collar,MARRIED,basic.6y,0,0,0,telephone,257,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-07-29,73dae94a-e882-4845-aa30-0aaff25d2a17,7,2018,0
54.0,services,MARRIED,,0,1,0,telephone,229,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-12-01,7aa43513-2461-455c-9430-9afb22f3a22d,12,2018,0
49.0,blue-collar,MARRIED,basic.4y,0,0,0,telephone,55,3,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-12-21,18b0c404-331a-4a68-90bc-0494a082f62d,12,2017,0
54.0,services,MARRIED,,0,0,0,telephone,400,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2015-12-22,012204f4-fca9-4bcb-a64d-808135727728,12,2015,0
52.0,admin.,DIVORCED,university.degree,0,0,0,telephone,197,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-04-18,33803ffa-fb03-4f0f-9f5c-3f2b9a28bc93,4,2018,0
52.0,admin.,DIVORCED,university.degree,0,0,0,telephone,190,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-08-26,834fda51-1ba3-4290-8be6-b59479dfb43b,8,2015,0
43.0,services,SINGLE,high.school,0,0,0,telephone,21,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-06-25,4dfcd68a-ccd2-4388-812c-c243a4b60254,6,2017,0
34.0,housemaid,MARRIED,basic.6y,0,1,0,telephone,300,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-10-06,f2ab895d-7487-4b68-b9e8-7ab8e734bd47,10,2016,0
35.0,admin.,MARRIED,high.school,0,1,0,telephone,123,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-11-21,9375d7ce-9370-402c-aed1-a4c1e814aaba,11,2019,0
42.0,entrepreneur,MARRIED,,0,1,0,telephone,293,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-10-22,5c79786f-6162-4496-8a30-b681f4115768,10,2019,0
43.0,technician,MARRIED,,0,1,1,telephone,325,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-02-11,ccb97836-0739-467e-bc99-d030ae3b52e4,2,2019,0
60.0,retired,DIVORCED,university.degree,0,0,0,telephone,514,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-03-14,383c6463-0de7-4a43-a1c1-bbd1203af6dd,3,2019,0
58.0,unemployed,MARRIED,basic.4y,0,0,0,telephone,849,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-04-27,026d1365-12d4-4fec-b398-139a59b46d8d,4,2016,0
35.0,services,DIVORCED,high.school,0,1,0,telephone,194,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-06-01,f010a64d-46ea-4e74-9c20-c0b18f55a756,6,2017,0
55.0,blue-collar,MARRIED,basic.9y,0,1,0,telephone,212,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-05-17,1e0c7084-f1b2-439a-bcba-5e23fc340b4c,5,2017,0
,management,MARRIED,university.degree,0,0,0,telephone,337,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-12-13,0ffac745-9207-4b6b-9503-f9138b19a806,12,2015,0
36.0,blue-collar,MARRIED,high.school,0,0,0,telephone,286,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-01-21,dd49237a-fec1-4149-ba1e-672559cfe5ef,1,2016,0
,admin.,DIVORCED,university.degree,0,0,0,telephone,247,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-07-09,572a2e0f-6455-4e0b-9025-20576e2c4c6c,7,2019,0
57.0,blue-collar,DIVORCED,,0,1,0,telephone,518,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2019-01-23,4036772a-d870-4694-b71b-d95ff95f5d58,1,2019,0
56.0,admin.,MARRIED,,0,1,0,telephone,364,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-06-24,0616394c-03be-45be-b1c0-648ac058cdb3,6,2018,0
50.0,admin.,MARRIED,basic.6y,0,0,0,telephone,61,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-05-28,9615fdd6-3e94-4e42-87c2-8bd7433e77e8,5,2017,0
31.0,technician,DIVORCED,professional.course,0,1,1,telephone,78,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-05-21,d2118bc5-42a8-4e57-9c51-3a3606f58353,5,2019,0
56.0,retired,MARRIED,basic.4y,0,1,0,telephone,102,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2016-09-01,d1a54bc7-e470-42cf-8661-815cf7c95eb4,9,2016,0
41.0,technician,MARRIED,professional.course,0,1,0,telephone,579,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,1,2018-05-25,01e82e78-a7e3-4189-98e6-53acbe30582b,5,2018,0
37.0,blue-collar,MARRIED,basic.6y,0,1,1,telephone,143,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-09-28,62cd0f07-0a57-4288-b485-df5984361fcd,9,2019,0
41.0,technician,MARRIED,professional.course,0,0,0,telephone,677,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-03-03,59f10b5e-f282-4c16-aa69-53f101088f27,3,2015,0
35.0,blue-collar,MARRIED,,0,1,0,telephone,267,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-09-06,091e4503-9fff-4a60-8050-9f56a0390aea,9,2019,0
37.0,blue-collar,MARRIED,basic.6y,0,1,0,telephone,345,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-05-28,5a23a54e-1290-4b3b-a2c3-bafe6d0536c4,5,2015,0
